Time, Distance From Path, Angle From Next Waypoint
4.469831, 0, 3.54837
4.486487, 0, 3.634399
4.503952, 0, 3.690109
4.519807, 0, 3.758698
4.536629, 0, 3.791687
4.552747, 0, 3.824371
4.569377, 0, 3.852951
4.586659, 0, 3.84494
4.602489, 0, 3.860626
4.619507, 0, 3.844635
4.635852, 0, 3.848923
4.652927, 0, 3.795853
4.66961, 0, 3.767426
4.686152, 0, 3.699585
4.703098, 0, 3.634171
4.719795, 0, 3.557907
4.736645, 0, 3.429916
4.753492, 0, 3.28125
4.7698, 0, 3.086807
4.788212, 0, 2.80748
4.806566, 0, 2.51535
4.820015, 0, 2.193802
4.836582, 0, 1.857178
4.852665, 0, 1.508606
4.869314, 0, 1.112869
4.886223, 0, 0.7027588
4.903115, 0, 0.2478638
4.919967, 0, -0.1582031
4.936452, 0, -0.5911865
4.952671, 0, -0.9648743
4.969385, 0, -1.298523
4.987294, 0, -1.55587
5.003052, 0, -1.780052
5.019488, 0, -1.941719
5.035776, 0, -2.058762
5.053627, 0, -2.111496
5.069476, 0.002272344, -2.090744
5.086221, 0.004601547, -1.979698
5.102894, 0.006846797, -1.871033
5.119912, 0.009051594, -1.753944
5.136626, 0.0111058, -1.617584
5.153838, 0.01312225, -1.496696
5.16984, 0.01487348, -1.352135
5.186623, 0.01658847, -1.216858
5.203067, 0.01811483, -1.054169
5.219379, 0.01946597, -0.8863831
5.235845, 0.02063402, -0.6943817
5.252565, 0.02159047, -0.479599
5.270347, 0.02233689, -0.2474213
5.286325, 0.02277803, -0.03344727
5.302981, 0.02295275, 0.2151642
5.32041, 0.02284316, 0.4527893
5.336859, 0.0224585, 0.6903534
5.353931, 0.02175928, 0.9294434
5.371006, 0.02076447, 1.160065
5.387199, 0.01954756, 1.381378
5.403747, 0.01806262, 1.565002
5.419837, 0.01639763, 1.734222
5.43674, 0.01445938, 1.86319
5.453021, 0.01238476, 2.014328
5.470474, 0.009996668, 2.113022
5.486671, 0.007636379, 2.205795
5.504045, 0.004998364, 2.25528
5.520859, 0.002338554, 2.309494
5.537629, 0.0004292327, 2.371109
5.554439, 0.003324537, 2.437027
5.570257, 0.006134706, 2.479492
5.586211, 0.009055132, 2.520935
5.602552, 0.01212566, 2.55394
5.619223, 0.01530679, 2.558823
5.636134, 0.01858195, 2.563049
5.652824, 0.0218698, 2.574783
5.669568, 0.02522107, 2.584488
5.68599, 0.02854647, 2.583557
5.703062, 0.03203383, 2.574356
5.71928, 0.03539987, 2.588898
5.735763, 0.038886, 2.612564
5.753085, 0.04261481, 2.631989
5.769824, 0.04625932, 2.634644
5.788035, 0.05028347, 2.645782
5.802562, 0.05353053, 2.654373
5.819815, 0.05742411, 2.652267
5.836093, 0.06111197, 2.634354
5.852612, 0.06488517, 2.630844
5.870189, 0.06889782, 2.597366
5.886626, 0.07264884, 2.567368
5.903277, 0.07642239, 2.516312
5.919735, 0.08012102, 2.46196
5.936049, 0.08373962, 2.393707
5.95338, 0.08752579, 2.319519
5.969604, 0.09100393, 2.23703
5.985906, 0.09445139, 2.172623
6.00279, 0.09796978, 2.105743
6.019617, 0.1014103, 2.027908
6.035814, 0.1046708, 1.962601
6.052405, 0.1079647, 1.903534
6.069684, 0.1113715, 1.864075
6.087495, 0.1148406, 1.810318
6.103446, 0.1179333, 1.78067
6.119842, 0.1210859, 1.740753
6.136034, 0.1242042, 1.728836
6.153282, 0.1275293, 1.714676
6.169485, 0.1306474, 1.693878
6.187103, 0.1340472, 1.684631
6.203166, 0.1371618, 1.682983
6.220015, 0.1404198, 1.660004
6.23604, 0.1435477, 1.671356
6.252806, 0.1468213, 1.657074
6.269643, 0.1501196, 1.651459
6.286591, 0.1534426, 1.638992
6.303607, 0.1567777, 1.623184
6.32094, 0.1601546, 1.592072
6.337572, 0.1633731, 1.559372
6.353835, 0.1665292, 1.554459
6.369686, 0.1695803, 1.51889
6.386074, 0.1727399, 1.510986
6.403281, 0.1768959, 1.48378
6.41939, 0.1807753, 1.456192
6.436146, 0.1854619, 1.437592
6.452995, 0.1901737, 1.414459
6.469112, 0.1946791, 1.391617
6.485943, 0.1993897, 1.375
6.502688, 0.2041012, 1.374756
6.519229, 0.2087775, 1.373367
6.535946, 0.2135456, 1.388153
6.552583, 0.2183076, 1.382019
6.569824, 0.2232583, 1.373489
6.587078, 0.2282349, 1.370895
6.603511, 0.23299, 1.364685
6.620567, 0.2379309, 1.348419
6.636028, 0.2424117, 1.33194
6.653037, 0.2473271, 1.300766
6.669546, 0.2520781, 1.264572
6.685756, 0.2567219, 1.227875
6.70255, 0.2615196, 1.198349
6.719428, 0.2663353, 1.175018
6.735709, 0.2709849, 1.162003
6.752782, 0.2758502, 1.135452
6.769551, 0.2806392, 1.127167
6.787089, 0.2863403, 1.118347
6.803588, 0.2948725, 1.081772
6.819963, 0.307682, 1.036469
6.835849, 0.3230336, 0.9664764
6.852707, 0.3417595, 0.8935547
6.869749, 0.3618855, 0.7918396
6.885953, 0.381042, 0.7112122
6.902881, 0.401064, 0.6197968
6.91933, 0.4205365, 0.5384216
6.936069, 0.4403552, 0.4423523
6.953153, 0.4605745, 0.3383942
6.969833, 0.4803172, 0.2443237
6.986685, 0.5002719, 0.1584778
7.00342, 0.5200809, 0.05827332
7.01966, 0.5393062, -0.02824402
7.035867, 0.5579493, -0.09141541
7.053223, 0.5767011, -0.1668243
7.069382, 0.5924624, -0.1976013
7.086165, 0.606396, -0.2364807
7.102809, 0.6189982, -0.2661591
7.119267, 0.6314402, -0.3298187
7.135877, 0.6440268, -0.3498383
7.152802, 0.6568327, -0.4129944
7.16946, 0.6694523, -0.4451752
7.186134, 0.6820943, -0.4799347
7.202794, 0.6947478, -0.5050812
7.220217, 0.7080179, -0.5199585
7.235865, 0.7199708, -0.5285187
7.253037, 0.7331343, -0.5345459
7.269936, 0.7461358, -0.5366974
7.285807, 0.7583699, -0.555603
7.302758, 0.7714714, -0.5694733
7.319562, 0.7844769, -0.5961304
7.335868, 0.7970927, -0.6405487
7.352547, 0.8100104, -0.670639
7.369542, 0.8231603, -0.722229
7.386236, 0.8360879, -0.7542267
7.402408, 0.848624, -0.7810516
7.419767, 0.862096, -0.80896
7.436079, 0.8747748, -0.8293304
7.452417, 0.8874909, -0.8534241
7.46968, 0.8977112, -0.8488922
7.485967, 0.9055063, -0.8490753
7.502603, 0.9122118, -0.8399658
7.519188, 0.9188939, -0.8505859
7.535824, 0.9255887, -0.8653717
7.552873, 0.9317707, -0.8901215
7.569042, 0.9369929, -0.907547
7.586714, 0.9411234, -0.9224854
7.602974, 0.9449273, -0.9147034
7.619539, 0.9487947, -0.917099
7.636556, 0.952763, -0.9156189
7.653759, 0.9567817, -0.9050751
7.670038, 0.9605942, -0.8922882
7.686799, 0.9645253, -0.88237
7.702984, 0.9683151, -0.883667
7.71921, 0.9721232, -0.8717651
7.735933, 0.9760467, -0.8684845
7.752718, 0.9799878, -0.8615112
7.769722, 0.9839635, -0.8709106
7.786401, 0.9878756, -0.8565674
7.802868, 0.9917026, -0.8828583
7.819942, 0.995666, -0.8821259
7.836731, 0.9995261, -0.9098969
7.853712, 1.003439, -0.8973846
7.8701, 1.007208, -0.9006348
7.886259, 1.010922, -0.8975983
7.903299, 1.014805, -0.9212189
7.920214, 1.018698, -0.8854218
7.936351, 1.022404, -0.8876953
7.953382, 1.026303, -0.8942566
7.969773, 1.030061, -0.8849182
7.987044, 1.033981, -0.913208
8.003424, 1.037675, -0.931015
8.021178, 1.041635, -0.9613495
8.037753, 1.045295, -0.9885406
8.05437, 1.048934, -1.010498
8.069475, 1.052214, -1.032623
8.086003, 1.05577, -1.055939
8.103121, 1.059446, -1.057495
8.119145, 1.06288, -1.058884
8.135789, 1.066451, -1.0504
8.152514, 1.070033, -1.051193
8.169162, 1.073611, -1.036194
8.186782, 1.077403, -1.027008
8.202602, 1.080807, -1.02356
8.219445, 1.084428, -1.022263
8.236073, 1.088001, -1.018478
8.25262, 1.091547, -1.023087
8.269392, 1.095135, -1.023743
8.285689, 1.098623, -1.017868
8.302361, 1.102164, -1.035828
8.31904, 1.105721, -1.019547
8.335742, 1.10926, -1.035416
8.352798, 1.112893, -1.01445
8.369645, 1.116477, -1.013412
8.386395, 1.120039, -1.010712
8.402534, 1.123474, -1.00386
8.41972, 1.127119, -1.010284
8.437131, 1.130803, -1.012985
8.453295, 1.13422, -1.011887
8.470125, 1.137769, -1.014801
8.485883, 1.141102, -1.001862
8.502462, 1.144613, -0.9936523
8.520138, 1.148345, -0.9983521
8.535804, 1.151661, -0.9870605
8.55331, 1.155353, -0.9933929
8.56902, 1.158681, -0.9763641
8.586294, 1.162337, -0.9747772
8.602582, 1.165798, -0.9588928
8.619237, 1.169337, -0.9552307
8.635455, 1.172798, -0.9373932
8.65236, 1.176414, -0.9277649
8.669308, 1.180059, -0.906723
8.687018, 1.183864, -0.9060822
8.702492, 1.187192, -0.9004364
8.720242, 1.19098, -0.9197083
8.736606, 1.194448, -0.9375
8.752841, 1.197864, -0.9554138
8.769823, 1.201392, -0.9906158
8.786098, 1.204743, -1.012848
8.802623, 1.208102, -1.045837
8.81974, 1.211573, -1.050034
8.836478, 1.214937, -1.07103
